Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Marco Bizot,33.0,Netherlands,Goalkeeper,Brest,Ligue 1,32,0,0
Ludovic Blas,26.0,France,"Midfielder, Forward",Rennes,Ligue 1,29,6,8
Augustine Boakye,23.0,Ghana,"Forward, Midfielder",Saint-Étienne,Ligue 1,17,3,0
Mathéo Bodmer,20.0,France,Midfielder,Le Havre,Ligue 1,1,0,0
Jeremie Boga,27.0,Côte d'Ivoire,"Midfielder, Forward",Nice,Ligue 1,21,1,2
Moïse Bombito,24.0,Canada,Defender,Nice,Ligue 1,27,0,0
Saïmon Bouabré,18.0,France,"Midfielder, Forward",Monaco,Ligue 1,3,0,0
Ayyoub Bouaddi,16.0,France,Midfielder,Lille,Ligue 1,24,0,1
Badredine Bouanani,19.0,Algeria,"Midfielder, Forward",Nice,Ligue 1,26,3,3
Benjamin Bouchouari,22.0,Morocco,Midfielder,Saint-Étienne,Ligue 1,25,1,0
Hicham Boudaoui,24.0,Algeria,Midfielder,Nice,Ligue 1,29,2,3
Justin Bourgault,18.0,France,Defender,Brest,Ligue 1,2,1,0
Benjamin Bourigeaud,30.0,France,Midfielder,Rennes,Ligue 1,1,1,0
Bilal Brahimi,24.0,Algeria,Midfielder,Nice,Ligue 1,2,0,0
Lilian Brassier,24.0,France,Defender,Rennes,Ligue 1,14,1,1
Anthony Briançon,29.0,France,Defender,Saint-Étienne,Ligue 1,1,0,0
Aurélio Buta,27.0,Portugal,Defender,Reims,Ligue 1,27,0,1
Marcin Bułka,24.0,Poland,Goalkeeper,Nice,Ligue 1,34,0,0
Rémy Cabella,34.0,France,"Forward, Midfielder",Lille,Ligue 1,23,1,2
Mathieu Cafaro,27.0,France,"Midfielder, Forward",Saint-Étienne,Ligue 1,15,1,0
Duje Ćaleta-Car,27.0,Croatia,Defender,Lyon,Ligue 1,19,1,0
Issiaga Camara,19.0,Guinea,Midfielder,Nice,Ligue 1,4,0,0
Lamine Camara,20.0,Senegal,Midfielder,Monaco,Ligue 1,29,2,7
Mahdi Camara,26.0,France,"Midfielder, Forward",Brest,Ligue 1,34,5,3
Ousmane Camara,21.0,France,Defender,Angers,Ligue 1,3,0,0
Axel Camblan,20.0,France,"Midfielder, Forward",Brest,Ligue 1,2,0,0
Jaydee Canvot,18.0,France,"Defender, Midfielder",Toulouse,Ligue 1,18,0,0
Pierrick Capelle,37.0,France,Midfielder,Angers,Ligue 1,16,0,0
Gabin Capuano,18.0,France,Forward,Lens,Ligue 1,1,0,0
Maxence Caqueret,24.0,France,Midfielder,Lyon,Ligue 1,9,0,0
Simon Cara,19.0,France,"Midfielder, Forward",Montpellier,Ligue 1,2,0,0
Valentin Carboni,19.0,Argentina,"Midfielder, Forward",Marseille,Ligue 1,4,0,0
Irvin Cardona,26.0,France,Forward,Saint-Étienne,Ligue 1,15,5,3
Patrik Carlgren,32.0,Sweden,Goalkeeper,Nantes,Ligue 1,5,0,0
Josué Casimir,22.0,France,"Forward, Midfielder",Le Havre,Ligue 1,27,4,4
Cristian Cásseres Jr.,24.0,"Venezuela, Bolivarian Republic of",Midfielder,Toulouse,Ligue 1,32,1,3
Jean-Charles Castelletto,29.0,Cameroon,"Defender, Midfielder",Nantes,Ligue 1,30,0,0
Enzo Caumont,20.0,France,Midfielder,Angers,Ligue 1,2,0,0
Fabien Centonze,28.0,France,Defender,Nantes,Ligue 1,7,0,0
Brendan Chardonnet,29.0,France,Defender,Brest,Ligue 1,27,1,0
Jhoanner Chávez,22.0,Ecuador,"Defender, Midfielder",Lens,Ligue 1,10,1,0
Théo Chennahi,19.0,France,Defender,Montpellier,Ligue 1,4,0,0
Sidiki Cherif,17.0,France,Forward,Angers,Ligue 1,7,0,0
Rayan Cherki,20.0,France,"Forward, Midfielder",Lyon,Ligue 1,30,8,11
Lucas Chevalier,22.0,France,Goalkeeper,Lille,Ligue 1,34,0,0
Pedro Chirivella,27.0,Spain,Midfielder,Nantes,Ligue 1,30,0,2
Joris Chotard,22.0,France,Midfielder,Montpellier,Ligue 1,26,1,0
Djaoui Cissé,20.0,France,Midfielder,Rennes,Ligue 1,14,1,0
Yoann Cissé,19.0,France,Midfielder,Auxerre,Ligue 1,2,0,0
Jonathan Clauss,31.0,France,"Defender, Midfielder",Nice,Ligue 1,28,3,8
Marcus Coco,28.0,France,Defender,Nantes,Ligue 1,20,0,1
Alois Confais,27.0,France,Midfielder,Le Havre,Ligue 1,1,0,0
Francis Coquelin,33.0,France,Midfielder,Nantes,Ligue 1,6,1,1
Derek Cornelius,26.0,Canada,Defender,Marseille,Ligue 1,21,0,0
Pierre Cornud,27.0,France,Defender,Saint-Étienne,Ligue 1,11,0,0
David Costa,23.0,Portugal,"Midfielder, Forward",Lens,Ligue 1,11,0,0
Logan Costa,23.0,Cabo Verde,Defender,Toulouse,Ligue 1,1,0,0
Grégoire Coudert,25.0,France,Goalkeeper,Brest,Ligue 1,2,0,0
Lasso Coulibaly,21.0,Côte d'Ivoire,"Forward, Midfielder",Auxerre,Ligue 1,3,1,0
Mamadou Coulibaly,20.0,France,Midfielder,Monaco,Ligue 1,1,0,0
Soumaïla Coulibaly,20.0,France,Defender,Brest,Ligue 1,7,0,0
Tanguy Coulibaly,23.0,France,"Forward, Midfielder",Montpellier,Ligue 1,25,3,0
Marius Courcoul,17.0,France,"Midfielder, Defender",Angers,Ligue 1,8,0,0
Nicolas Cozza,25.0,France,"Defender, Midfielder",Nantes,Ligue 1,27,1,0
Charlie Cresswell,21.0,England,Defender,Toulouse,Ligue 1,31,3,1
Kévin Danois,20.0,France,Midfielder,Auxerre,Ligue 1,22,0,0
Kevin Danso,25.0,Austria,Defender,Lens,Ligue 1,12,0,0
Dante,40.0,Brazil,Defender,Nice,Ligue 1,25,0,0
Mohamed Daramy,22.0,Denmark,Forward,Reims,Ligue 1,2,0,0
Jonathan David,24.0,Canada,Forward,Lille,Ligue 1,32,16,5
Zuriko Davitashvili,23.0,Georgia,"Forward, Midfielder",Saint-Étienne,Ligue 1,33,9,8
Théo De Percin,23.0,Martinique,Goalkeeper,Auxerre,Ligue 1,2,0,0
Thibault De Smet,26.0,Belgium,Defender,Reims,Ligue 1,5,0,0
Amar Dedić,21.0,Bosnia and Herzegovina,Defender,Marseille,Ligue 1,10,0,1
Romain Del Castillo,28.0,France,Forward,Brest,Ligue 1,26,6,4
Thomas Delaine,32.0,France,Defender,Strasbourg,Ligue 1,2,0,0
Andy Delort,32.0,Algeria,Forward,Montpellier,Ligue 1,9,0,0
Ousmane Dembélé,27.0,France,Forward,Paris S-G,Ligue 1,29,21,6
Rémy Descamps,28.0,France,Goalkeeper,Lyon,Ligue 1,1,0,0
Arthur Desmas,30.0,France,Goalkeeper,Le Havre,Ligue 1,18,0,0
Mamadou Diakhon,18.0,France,"Forward, Midfielder",Reims,Ligue 1,28,2,1
Bafodé Diakité,23.0,France,Defender,Lille,Ligue 1,31,4,1
Oumar Diakité,20.0,Côte d'Ivoire,Forward,Reims,Ligue 1,26,4,1
Habib Diarra,20.0,Senegal,"Midfielder, Forward",Strasbourg,Ligue 1,30,4,5
Krépin Diatta,25.0,Senegal,"Defender, Forward",Monaco,Ligue 1,19,0,0
Kandet Diawara,24.0,Guinea,Forward,Le Havre,Ligue 1,1,0,0
Mahamadou Diawara,19.0,France,Midfielder,Lyon,Ligue 1,2,0,0
Bamba Dieng,24.0,Senegal,Forward,Angers,Ligue 1,18,3,0
Kembo Diliwidi,18.0,France,Defender,Lens,Ligue 1,1,0,0
Sinaly Diomande,23.0,Côte d'Ivoire,Defender,Auxerre,Ligue 1,23,3,2
Lois Diony,31.0,France,Forward,Angers,Ligue 1,1,0,0
Sérigné Diop,19.0,Senegal,Forward,Brest,Ligue 1,2,0,0
Sofiane Diop,24.0,France,"Midfielder, Forward",Nice,Ligue 1,28,6,4
Andy Diouf,21.0,France,Midfielder,Lens,Ligue 1,34,1,2
Yehvann Diouf,24.0,France,Goalkeeper,Reims,Ligue 1,34,0,0
Assane Dioussé,26.0,Senegal,Midfielder,Auxerre,Ligue 1,17,0,0
Álex Domínguez,26.0,Spain,Goalkeeper,Toulouse,Ligue 1,1,0,0
Gianluigi Donnarumma,25.0,Italy,Goalkeeper,Paris S-G,Ligue 1,24,0,0
Sékou Doucoure,19.0,France,Defender,Nantes,Ligue 1,2,0,0
Désiré Doué,19.0,France,"Forward, Midfielder",Paris S-G,Ligue 1,31,6,6
Guela Doué,21.0,Côte d'Ivoire,Defender,Strasbourg,Ligue 1,32,1,2
Douglas,27.0,Brazil,Midfielder,Nantes,Ligue 1,28,4,2
Ismaël Doukouré,21.0,France,"Defender, Midfielder",Strasbourg,Ligue 1,31,1,1
Kamory Doumbia,21.0,Mali,"Midfielder, Forward",Brest,Ligue 1,30,3,2
Amidou Doumbouya,16.0,France,Defender,Nice,Ligue 1,2,0,0
Jean-Kevin Duverne,27.0,Haiti,Defender,Nantes,Ligue 1,9,0,0
Stefan Džodić,19.0,Serbia,"Defender, Midfielder",Montpellier,Ligue 1,7,0,0
Aron Dønnum,26.0,Norway,"Defender, Midfielder",Toulouse,Ligue 1,32,2,2
Noah Edjouma,18.0,France,"Midfielder, Forward",Toulouse,Ligue 1,10,2,0
Jacques Ekomie,20.0,Gabon,"Defender, Forward",Angers,Ligue 1,18,0,0
Pierre Ekwah Elimby,22.0,France,Midfielder,Saint-Étienne,Ligue 1,29,1,0
Meschak Elia,26.0,"Congo, The Democratic Republic of the",Forward,Nantes,Ligue 1,8,1,0
Breel Embolo,27.0,Switzerland,"Forward, Midfielder",Monaco,Ligue 1,29,6,4
Emanuel Emegha,21.0,Netherlands,Forward,Strasbourg,Ligue 1,27,14,3
Romain Faivre,26.0,France,"Midfielder, Forward",Brest,Ligue 1,20,3,2
Khalil Fayad,20.0,France,"Midfielder, Forward",Montpellier,Ligue 1,20,0,0
Luiz Felipe,27.0,Italy,Defender,Marseille,Ligue 1,4,0,0
Zinedine Ferhat,31.0,Algeria,"Forward, Midfielder",Angers,Ligue 1,24,2,0
Edimilson Fernandes,28.0,Switzerland,"Midfielder, Defender",Brest,Ligue 1,19,0,1
Matias Fernandez-Pardo,19.0,Belgium,"Forward, Midfielder",Lille,Ligue 1,22,4,2
Jordan Ferri,32.0,France,Midfielder,Montpellier,Ligue 1,25,0,2
Karol Fila,26.0,Poland,Midfielder,Strasbourg,Ligue 1,1,0,0
Malick Fofana,19.0,Belgium,Forward,Lyon,Ligue 1,29,5,4
Rayan Fofana,18.0,France,"Forward, Midfielder",Lens,Ligue 1,2,0,0
Seko Fofana,29.0,Côte d'Ivoire,Midfielder,Rennes,Ligue 1,16,1,1
Yahia Fofana,23.0,Côte d'Ivoire,Goalkeeper,Angers,Ligue 1,33,0,0
Lamine Fomba,26.0,France,Midfielder,Saint-Étienne,Ligue 1,7,0,0
Przemysław Frankowski,29.0,Poland,Defender,Lens,Ligue 1,18,4,2
Angelo Fulgini,27.0,France,"Midfielder, Forward",Lens,Ligue 1,23,1,1
Kyogo Furuhashi,29.0,Japan,Forward,Rennes,Ligue 1,6,0,0
Gauthier Gallon,31.0,France,Goalkeeper,Rennes,Ligue 1,1,0,0
Ignatius Ganago,25.0,Cameroon,"Forward, Midfielder",Nantes,Ligue 1,11,0,0
Ulisses Garcia,28.0,Switzerland,Defender,Marseille,Ligue 1,20,2,2
Jean-Philippe Gbamin,28.0,Côte d'Ivoire,Midfielder,Nantes,Ligue 1,14,0,0
Mory Gbane,23.0,Côte d'Ivoire,"Defender, Midfielder",Reims,Ligue 1,13,0,1
Yann Gboho,23.0,France,"Midfielder, Forward",Toulouse,Ligue 1,31,5,4
Denis Genreau,25.0,Australia,Midfielder,Toulouse,Ligue 1,8,0,0
Aleksandr Golovin,28.0,Russian Federation,"Midfielder, Forward",Monaco,Ligue 1,19,3,0
André Gomes,31.0,Portugal,Midfielder,Lille,Ligue 1,20,0,0
Angel Gomes,23.0,England,Midfielder,Lille,Ligue 1,14,1,1
Carlos Gómez,21.0,Colombia,"Midfielder, Defender",Rennes,Ligue 1,17,3,0
Mathieu Gorgelin,33.0,France,Goalkeeper,Le Havre,Ligue 1,16,0,0
Amine Gouiri,24.0,Algeria,"Midfielder, Forward",Rennes,Ligue 1,19,3,2
Jonathan Gradit,31.0,France,Defender,Lens,Ligue 1,25,0,0
Samuel Grandsir,27.0,France,"Midfielder, Forward",Le Havre,Ligue 1,6,0,0
Mason Greenwood,22.0,England,"Forward, Midfielder",Marseille,Ligue 1,34,21,5
Albert Grønbaek,23.0,Denmark,"Midfielder, Forward",Rennes,Ligue 1,16,2,1
Gabriel Gudmundsson,25.0,Sweden,Defender,Lille,Ligue 1,30,2,0
Axel Gueguin,19.0,France,Forward,Montpellier,Ligue 1,1,0,0
Evann Guessand,23.0,Côte d'Ivoire,"Forward, Midfielder",Nice,Ligue 1,33,12,8
Bahereba Guirassy,17.0,France,"Forward, Midfielder",Nantes,Ligue 1,19,2,0
Massadio Haïdara,31.0,Mali,Defender,Brest,Ligue 1,22,0,0
Achraf Hakimi,25.0,Morocco,Defender,Paris S-G,Ligue 1,25,4,6
Florent Hanin,34.0,Algeria,Defender,Angers,Ligue 1,33,1,2
Amine Harit,27.0,Morocco,Midfielder,Marseille,Ligue 1,13,2,4
Hans Hateboer,30.0,Netherlands,Defender,Rennes,Ligue 1,26,0,0
Kjetil Haug,26.0,Norway,Goalkeeper,Toulouse,Ligue 1,6,0,0
Luis Henrique,22.0,Brazil,"Defender, Forward",Marseille,Ligue 1,33,7,7
Lucas Hernández,28.0,France,Defender,Paris S-G,Ligue 1,16,0,0
Ki-Jana Hoever,22.0,Netherlands,Defender,Auxerre,Ligue 1,30,1,2
Cédric Hountondji,30.0,Benin,Defender,Angers,Ligue 1,3,0,0
Ilyes Housni,19.0,France,"Forward, Midfielder",Le Havre,Ligue 1,12,0,0
Pierre Højbjerg,28.0,Denmark,Midfielder,Marseille,Ligue 1,30,2,4
Hafiz Ibrahim,18.0,Nigeria,Forward,Reims,Ligue 1,11,0,1
George Ilenikhena,17.0,Nigeria,Forward,Monaco,Ligue 1,23,3,2
Rareş Ilie,21.0,Romania,Midfielder,Nice,Ligue 1,2,0,0
Ismaily,34.0,Brazil,Defender,Lille,Ligue 1,16,0,1
Yanis Issoufou,17.0,France,"Midfielder, Forward",Montpellier,Ligue 1,4,0,0
Junya Ito,31.0,Japan,"Forward, Midfielder",Reims,Ligue 1,33,4,3
Jérémy Jacquet,19.0,France,Defender,Rennes,Ligue 1,11,0,1
Ismail Jakobs,24.0,Senegal,Defender,Monaco,Ligue 1,2,0,0
Jordan James,20.0,Wales,Midfielder,Rennes,Ligue 1,23,0,1
Malcolm Jeng,19.0,Sweden,Defender,Reims,Ligue 1,3,0,0
John Joe,20.0,Ireland,Midfielder,Reims,Ligue 1,13,0,0
Karl-Johan Johnsson,34.0,Sweden,Goalkeeper,Strasbourg,Ligue 1,3,0,0
Paul Joly,24.0,France,Defender,Auxerre,Ligue 1,26,0,1
Jota,25.0,Portugal,"Forward, Midfielder",Rennes,Ligue 1,9,1,0
Antoine Joujou,21.0,France,"Midfielder, Forward",Le Havre,Ligue 1,26,0,2
Jubal,30.0,Brazil,Defender,Auxerre,Ligue 1,30,6,0
Hamed Junior Traorè,24.0,Côte d'Ivoire,Midfielder,Auxerre,Ligue 1,26,10,2
Yaya Kader Fofana,20.0,Mali,"Midfielder, Forward",Reims,Ligue 1,12,1,1
Tino Kadewere,28.0,Zimbabwe,"Midfielder, Forward",Nantes,Ligue 1,12,1,2
Arnaud Kalimuendo,22.0,France,"Forward, Midfielder",Rennes,Ligue 1,33,17,3
Justin-Noël Kalumba,19.0,France,"Forward, Midfielder",Angers,Ligue 1,2,0,0
Waren Kamanzi,23.0,Norway,"Defender, Midfielder",Toulouse,Ligue 1,24,1,1
Glen Kamara,28.0,Finland,Midfielder,Rennes,Ligue 1,13,0,1
Noham Kamara,17.0,France,Defender,Paris S-G,Ligue 1,2,0,0
Nordine Kandil,22.0,France,Midfielder,Strasbourg,Ligue 1,1,0,0
Lee Kang-in,23.0,"Korea, Republic of","Forward, Midfielder",Paris S-G,Ligue 1,30,6,6
Yassine Kechta,22.0,Morocco,"Midfielder, Forward",Le Havre,Ligue 1,31,2,0
Thilo Kehrer,27.0,Germany,Defender,Monaco,Ligue 1,27,4,0
Reda Khadra,23.0,Germany,"Midfielder, Forward",Reims,Ligue 1,4,0,0
Wahbi Khazri,33.0,Tunisia,"Forward, Midfielder",Montpellier,Ligue 1,30,1,1
Abdukodir Khusanov,20.0,Uzbekistan,Defender,Lens,Ligue 1,13,0,0
Presnel Kimpembe,28.0,France,Defender,Paris S-G,Ligue 1,2,0,0
Joshua King,32.0,Norway,"Forward, Midfielder",Toulouse,Ligue 1,28,6,3
Cédric Kipré,27.0,Côte d'Ivoire,Defender,Reims,Ligue 1,28,0,1
Hervé Koffi,27.0,Burkina Faso,Goalkeeper,Lens,Ligue 1,5,0,0
Philipp Köhn,26.0,Switzerland,Goalkeeper,Monaco,Ligue 1,19,0,0
Koka,31.0,Egypt,Forward,Le Havre,Ligue 1,16,3,1
Randal Kolo Muani,25.0,France,Forward,Paris S-G,Ligue 1,10,2,1
Geoffrey Kondogbia,31.0,Catalonia,"Defender, Midfielder",Marseille,Ligue 1,25,0,0
Abdoul Koné,19.0,France,Defender,Reims,Ligue 1,4,0,0
Amadou Koné,19.0,Mali,Midfielder,Reims,Ligue 1,24,0,0
Ismaël Koné,22.0,Canada,Midfielder,Rennes,Ligue 1,13,2,1
Emmanuel Koum Mbondo,18.0,France,Defender,Marseille,Ligue 1,1,0,0
Boubakar Kouyaté,27.0,Mali,Defender,Montpellier,Ligue 1,11,0,0
Goduine Koyalipou,24.0,Catalonia,Forward,Lens,Ligue 1,15,4,0
Sael Kumbedi,19.0,France,Defender,Lyon,Ligue 1,14,0,0
Daler Kuzyaev,31.0,Russian Federation,Midfielder,Le Havre,Ligue 1,12,1,0
Khvicha Kvaratskhelia,23.0,Georgia,Forward,Paris S-G,Ligue 1,14,4,3
Rémy Labeau Lascary,21.0,Guadeloupe,"Forward, Midfielder",Lens,Ligue 1,14,2,1
Gaëtan Laborde,30.0,France,Forward,Nice,Ligue 1,28,11,4
Alexandre Lacazette,33.0,France,Forward,Lyon,Ligue 1,30,15,2
Younes Lachaab,19.0,France,"Midfielder, Forward",Lille,Ligue 1,2,0,0
Alban Lafont,25.0,France,Goalkeeper,Nantes,Ligue 1,12,0,0
Kenny Lala,32.0,Madagascar,Defender,Brest,Ligue 1,30,3,2
Mohamed Lamine Bayo,26.0,Guinea,Forward,Lille,Ligue 1,12,2,1
Gautier Larsonneur,27.0,France,Goalkeeper,Saint-Étienne,Ligue 1,34,0,0
Julien Le Cardinal,26.0,France,Defender,Brest,Ligue 1,16,0,1
Jérémy Le Douaron,26.0,France,Forward,Brest,Ligue 1,2,0,0
Benjamin Lecomte,33.0,France,Goalkeeper,Montpellier,Ligue 1,30,0,0
Pierre Lees-Melou,31.0,France,Midfielder,Brest,Ligue 1,20,2,2
Jordan Lefort,30.0,France,Defender,Angers,Ligue 1,34,0,1
Félix Lemaréchal,20.0,France,"Midfielder, Forward",Strasbourg,Ligue 1,27,4,3
Donovan Léon,31.0,French Guiana,Goalkeeper,Auxerre,Ligue 1,32,0,2
Esteban Lepaul,24.0,France,Forward,Angers,Ligue 1,28,9,0
Johann Lepenant,21.0,France,Midfielder,Nantes,Ligue 1,29,2,1
Louis Leroux,18.0,France,"Midfielder, Defender",Nantes,Ligue 1,16,2,1
Pol Lirola,26.0,Spain,Defender,Marseille,Ligue 1,19,1,2
Gautier Lloris,29.0,France,Defender,Le Havre,Ligue 1,31,2,1
Bradley Locko,22.0,France,Defender,Brest,Ligue 1,2,0,0
Elysée Logbo,20.0,France,Forward,Le Havre,Ligue 1,1,0,0
Anthony Lopes,33.0,Portugal,Goalkeeper,Nantes,Ligue 1,18,0,0
Jordan Lotomba,25.0,Switzerland,"Midfielder, Defender",Nice,Ligue 1,2,0,0
Tom Louchet,21.0,France,"Defender, Midfielder",Nice,Ligue 1,22,1,0
Milos Lukovic,18.0,Serbia,"Forward, Midfielder",Strasbourg,Ligue 1,2,0,0
Othmane Maamma,18.0,Morocco,"Forward, Midfielder",Montpellier,Ligue 1,12,1,1
Deiver Machado,30.0,Colombia,"Defender, Midfielder",Lens,Ligue 1,27,1,4
Lanroy Machine,18.0,France,Forward,Angers,Ligue 1,2,0,0
Yvann Macon,25.0,France,Defender,Saint-Étienne,Ligue 1,12,0,0
Eros Maddy,23.0,Netherlands,Defender,Auxerre,Ligue 1,2,0,0
Soungoutou Magassa,20.0,France,Midfielder,Monaco,Ligue 1,21,0,1
Hugo Magnetti,26.0,France,Midfielder,Brest,Ligue 1,32,1,0
Frank Magri,24.0,Cameroon,"Forward, Midfielder",Toulouse,Ligue 1,31,5,1
Ainsley Maitland-Niles,26.0,England,Defender,Lyon,Ligue 1,32,1,4
Radosław Majecki,24.0,Poland,Goalkeeper,Monaco,Ligue 1,15,0,0
Hamidou Makalou,18.0,Mali,"Forward, Midfielder",Brest,Ligue 1,4,0,0
Nikola Maksimović,32.0,Serbia,Defender,Montpellier,Ligue 1,7,0,0
Aaron Malouda,18.0,France,Forward,Lille,Ligue 1,1,0,0
Hianga Mananga Mbock,24.0,France,Midfielder,Brest,Ligue 1,1,0,0
Steve Mandanda,39.0,France,Goalkeeper,Rennes,Ligue 1,18,0,0
