Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Fran Beltrán,25.0,Spain,Midfielder,Celta Vigo,La Liga,34,2,1
Carlos Benavídez,26.0,Uruguay,Midfielder,Alavés,La Liga,18,1,1
Iker Benito,21.0,Spain,"Forward, Midfielder",Osasuna,La Liga,2,0,0
Yuri Berchiche,34.0,Spain,Defender,Athletic Club,La Liga,30,0,2
Álex Berenguer,29.0,Spain,"Forward, Midfielder",Athletic Club,La Liga,36,6,7
Marc Bernal,17.0,Spain,Midfielder,Barcelona,La Liga,3,0,0
Juan Bernat,31.0,Spain,"Midfielder, Defender",Getafe,La Liga,14,0,1
Juan Berrocal,25.0,Spain,Defender,Getafe,La Liga,19,0,0
Antonio Blanco,24.0,Spain,Midfielder,Alavés,La Liga,35,0,1
Daley Blind,34.0,Netherlands,Defender,Girona,La Liga,34,0,2
Adama Boiro,22.0,Spain,"Defender, Forward",Athletic Club,La Liga,18,0,0
Enzo Boyomo,22.0,Cameroon,Defender,Valladolid,La Liga,3,0,0
Darko Brašanac,32.0,Serbia,Midfielder,Leganés,La Liga,30,1,2
Tajon Buchanan,25.0,Canada,Midfielder,Villarreal,La Liga,13,1,2
Ante Budimir,33.0,Croatia,Forward,Osasuna,La Liga,38,21,4
Manu Bueno,20.0,Spain,"Midfielder, Forward",Sevilla,La Liga,9,1,0
Endika Buján,21.0,Spain,Forward,Athletic Club,La Liga,1,0,0
Pau Cabanes,19.0,Spain,"Midfielder, Forward",Alavés,La Liga,6,0,0
Leandro Cabrera,33.0,Uruguay,Defender,Espanyol,La Liga,33,4,2
Fernando Calero,28.0,Spain,"Defender, Midfielder",Espanyol,La Liga,21,1,0
Eduardo Camavinga,21.0,France,"Midfielder, Defender",Real Madrid,La Liga,19,1,2
Sergio Camello,23.0,Spain,Forward,Rayo Vallecano,La Liga,23,3,2
José Campaña,31.0,Spain,Midfielder,Las Palmas,La Liga,25,0,3
Peio Canales,19.0,Spain,"Midfielder, Forward",Athletic Club,La Liga,8,0,0
Antonio Candela,24.0,Italy,Defender,Valladolid,La Liga,12,0,0
Sergi Canós,27.0,Spain,"Midfielder, Forward",Valencia,La Liga,17,0,1
Dani Cárdenas,27.0,Spain,Goalkeeper,Rayo Vallecano,La Liga,6,0,0
Marc Cardona,29.0,Spain,"Forward, Defender",Las Palmas,La Liga,11,0,0
Sergi Cardona,25.0,Spain,Defender,Villarreal,La Liga,35,1,7
Johnny Cardoso,22.0,United States,Midfielder,Betis,La Liga,28,3,1
José Carlos González,18.0,Spain,Defender,Las Palmas,La Liga,1,0,0
Carmona,22.0,Spain,Defender,Sevilla,La Liga,35,0,0
Sergio Carreira,23.0,Spain,"Midfielder, Defender",Celta Vigo,La Liga,23,0,4
Dani Carvajal,32.0,Spain,Defender,Real Madrid,La Liga,8,1,0
William Carvalho,32.0,Portugal,Midfielder,Betis,La Liga,14,0,0
Marc Casado,20.0,Spain,Midfielder,Barcelona,La Liga,23,1,3
Catena,29.0,Spain,Defender,Osasuna,La Liga,35,1,3
Maximiliano Caufriez,27.0,Belgium,Defender,Valencia,La Liga,1,0,0
Dani Ceballos,27.0,Spain,Midfielder,Real Madrid,La Liga,23,0,0
Franco Cervi,30.0,Argentina,"Forward, Midfielder",Celta Vigo,La Liga,7,0,0
Raúl Chasco,20.0,Spain,Defender,Valladolid,La Liga,2,0,0
Pep Chavarría,26.0,Spain,"Defender, Forward",Rayo Vallecano,La Liga,34,0,1
Walid Cheddira,26.0,Morocco,Forward,Espanyol,La Liga,22,1,1
Chema,19.0,Spain,Midfielder,Real Madrid,La Liga,2,0,0
Julián Chicco,26.0,Argentina,"Midfielder, Defender",Leganés,La Liga,14,0,1
Chiquinho,24.0,Portugal,"Midfielder, Forward",Mallorca,La Liga,8,0,0
Andreas Christensen,28.0,Denmark,Defender,Barcelona,La Liga,5,0,0
Jasper Cillessen,35.0,Netherlands,Goalkeeper,Las Palmas,La Liga,27,0,0
Pathé Ciss,30.0,Senegal,"Midfielder, Defender",Rayo Vallecano,La Liga,33,4,1
Seydouba Cissé,23.0,Guinea,Midfielder,Leganés,La Liga,34,3,1
Silvi Clúa,19.0,Spain,Midfielder,Girona,La Liga,4,0,0
Eray Cömert,26.0,Switzerland,"Defender, Midfielder",Valladolid,La Liga,25,0,0
Santi Comesaña,27.0,Spain,Midfielder,Villarreal,La Liga,35,4,2
Diego Conde,25.0,Spain,Goalkeeper,Villarreal,La Liga,22,0,1
Tomás Conechny,26.0,Argentina,"Forward, Midfielder",Alavés,La Liga,22,1,0
Copete,24.0,Spain,Defender,Mallorca,La Liga,25,0,0
Iker Córdoba,18.0,Spain,Defender,Valencia,La Liga,2,0,0
Ángel Correa,29.0,Argentina,"Forward, Midfielder",Atlético Madrid,La Liga,31,4,1
Thierry Correia,25.0,Portugal,Defender,Valencia,La Liga,11,0,0
Coba da Costa,22.0,Spain,"Midfielder, Forward",Getafe,La Liga,19,1,1
Samu Costa,23.0,Portugal,Midfielder,Mallorca,La Liga,32,0,2
Thibaut Courtois,32.0,Belgium,Goalkeeper,Real Madrid,La Liga,30,0,0
Juan Cruz Armada,32.0,Spain,Defender,Osasuna,La Liga,25,0,0
Juan Cruz,24.0,Spain,"Forward, Midfielder",Leganés,La Liga,34,5,4
Pau Cubarsí,17.0,Spain,Defender,Barcelona,La Liga,35,0,3
Cucho,25.0,Colombia,Forward,Betis,La Liga,15,5,1
Arnaut Danjuma,27.0,Netherlands,"Forward, Midfielder",Girona,La Liga,25,2,0
Sergi Darder,30.0,Spain,"Midfielder, Forward",Mallorca,La Liga,38,2,6
Rodrigo De Paul,30.0,Argentina,Midfielder,Atlético Madrid,La Liga,34,3,5
Mouctar Diakhaby,27.0,Guinea,Defender,Valencia,La Liga,13,2,0
Assane Diao,18.0,Senegal,Forward,Betis,La Liga,10,1,2
Moussa Diarra,23.0,Mali,Defender,Alavés,La Liga,26,0,0
Brahim Díaz,24.0,Morocco,"Forward, Midfielder",Real Madrid,La Liga,31,4,2
Daniel Díaz,18.0,Spain,Midfielder,Real Sociedad,La Liga,1,0,0
Pedro Díaz,26.0,Spain,Midfielder,Rayo Vallecano,La Liga,26,3,0
Diego,24.0,Spain,Forward,Leganés,La Liga,28,3,0
Stole Dimitrievski,30.0,North Macedonia,Goalkeeper,Valencia,La Liga,4,0,0
Yan Diomandé,17.0,Côte d'Ivoire,"Midfielder, Forward",Leganés,La Liga,10,2,1
Álvaro djaló,24.0,Spain,Forward,Athletic Club,La Liga,17,1,0
Djené,32.0,Togo,"Defender, Midfielder",Getafe,La Liga,31,0,0
Marko Dmitrović,32.0,Serbia,Goalkeeper,Leganés,La Liga,32,0,0
Marc Domenech,18.0,Spain,"Forward, Midfielder",Mallorca,La Liga,10,0,0
Carlos Dominguez,23.0,Spain,Defender,Celta Vigo,La Liga,19,0,0
Israel Domínguez,21.0,Spain,Forward,Sevilla,La Liga,1,0,0
Sergi Dominguez,19.0,Spain,Defender,Barcelona,La Liga,3,0,0
Anastasios Douvikas,24.0,Greece,Forward,Celta Vigo,La Liga,20,3,1
Domingos Duarte,29.0,Portugal,Defender,Getafe,La Liga,22,1,0
Duk,24.0,Cabo Verde,"Midfielder, Forward",Leganés,La Liga,10,0,0
Pablo Durán,23.0,Spain,"Forward, Midfielder",Celta Vigo,La Liga,27,4,4
Hugo Duro,24.0,Spain,Forward,Valencia,La Liga,31,11,2
Chidera Ejuke,26.0,Nigeria,Forward,Sevilla,La Liga,25,2,1
Aritz Elustondo,30.0,Spain,Defender,Real Sociedad,La Liga,22,0,0
Adri Embarba,32.0,Spain,"Forward, Midfielder",Rayo Vallecano,La Liga,35,1,1
Endrick,18.0,Brazil,Forward,Real Madrid,La Liga,22,1,0
Alfonso Espino,32.0,Uruguay,Defender,Rayo Vallecano,La Liga,16,0,1
Dario Essugo,19.0,Portugal,Midfielder,Las Palmas,La Liga,27,1,0
Etienne Eto'o,21.0,Cameroon,Forward,Rayo Vallecano,La Liga,2,0,0
Karl Etta,20.0,Cameroon,"Midfielder, Forward",Villarreal,La Liga,4,1,0
Edu Expósito,27.0,Spain,Midfielder,Espanyol,La Liga,19,0,2
Abde Ezzalzouli,22.0,Morocco,"Forward, Midfielder",Betis,La Liga,32,2,2
Ansu Fati,21.0,Spain,Forward,Barcelona,La Liga,6,0,0
Nabil Fekir,31.0,France,Midfielder,Betis,La Liga,2,0,1
Kiko Femenía,33.0,Spain,Defender,Villarreal,La Liga,28,0,1
Aitor Fernández,33.0,Spain,Goalkeeper,Osasuna,La Liga,1,0,0
Álvaro Fernández,26.0,Spain,Goalkeeper,Sevilla,La Liga,9,0,0
Pelayo Fernandez,21.0,Spain,Defender,Rayo Vallecano,La Liga,2,0,0
Roberto Férnandez,22.0,Spain,Forward,Espanyol,La Liga,19,6,0
Valery Fernández,24.0,Spain,"Midfielder, Forward",Mallorca,La Liga,18,2,0
André Ferreira,28.0,Portugal,Goalkeeper,Valladolid,La Liga,6,0,0
Mateo Flores,20.0,Spain,Midfielder,Betis,La Liga,6,0,0
Pablo Fornals,28.0,Spain,"Midfielder, Forward",Betis,La Liga,26,2,0
Héctor Fort,17.0,Spain,Defender,Barcelona,La Liga,17,0,0
Dimitri Foulquier,31.0,France,Defender,Valencia,La Liga,32,0,1
Juan Foyth,26.0,Argentina,Defender,Villarreal,La Liga,19,1,0
Fran,19.0,Spain,Goalkeeper,Real Madrid,La Liga,1,0,0
Alejandro Francés,21.0,Spain,Defender,Girona,La Liga,18,0,0
Enric Franquesa,27.0,Spain,"Defender, Forward",Leganés,La Liga,12,1,0
Jorge de Frutos,27.0,Spain,"Forward, Midfielder",Rayo Vallecano,La Liga,36,6,3
Darío Fuentes,21.0,Spain,Defender,Sevilla,La Liga,1,0,0
Manuel Fuster,26.0,Spain,"Forward, Midfielder",Las Palmas,La Liga,28,2,1
Javi Galán,29.0,Spain,Defender,Atlético Madrid,La Liga,25,0,3
Iñigo Ruiz de Galarreta,30.0,Spain,Midfielder,Athletic Club,La Liga,26,0,4
Conor Gallagher,24.0,England,Midfielder,Atlético Madrid,La Liga,32,3,3
Facundo Garcés,24.0,Argentina,Defender,Alavés,La Liga,10,0,0
Álvaro García,31.0,Spain,"Forward, Midfielder",Rayo Vallecano,La Liga,36,4,5
Eric García,23.0,Spain,"Defender, Midfielder",Barcelona,La Liga,29,2,3
Fran Garcia,24.0,Spain,Defender,Real Madrid,La Liga,31,0,2
Gonzalo García,20.0,Spain,"Forward, Defender",Real Madrid,La Liga,3,0,1
Joan García,23.0,Spain,Goalkeeper,Espanyol,La Liga,38,0,0
Pablo Garcia,17.0,Spain,Forward,Betis,La Liga,3,0,0
Rubén García,31.0,Spain,"Forward, Midfielder",Osasuna,La Liga,36,5,5
Unai García,32.0,Spain,Defender,Osasuna,La Liga,3,0,0
Yarek Gasiorowski,19.0,Spain,Defender,Valencia,La Liga,15,0,0
Gavi,19.0,Spain,"Midfielder, Forward",Barcelona,La Liga,26,1,1
Paulo Gazzaniga,32.0,Argentina,Goalkeeper,Girona,La Liga,36,0,0
Bryan Gil,23.0,Spain,"Forward, Midfielder",Girona,La Liga,25,3,3
Dani Gómez,26.0,Spain,Forward,Valencia,La Liga,14,2,0
Moi Gómez,30.0,Spain,"Midfielder, Forward",Osasuna,La Liga,26,0,0
Sergi Gómez,32.0,Spain,Defender,Espanyol,La Liga,12,0,0
Sergio Gómez,23.0,Spain,"Midfielder, Defender",Real Sociedad,La Liga,37,2,5
Unai Gómez,21.0,Spain,"Midfielder, Forward",Athletic Club,La Liga,32,1,3
Fabio González,27.0,Spain,Midfielder,Las Palmas,La Liga,2,0,0
Peter González,22.0,Dominican Republic,"Midfielder, Forward",Getafe,La Liga,17,0,0
Urko González,23.0,Spain,Midfielder,Real Sociedad,La Liga,1,0,0
Andoni Gorosabel,27.0,Spain,Defender,Athletic Club,La Liga,20,0,2
José Gragera,23.0,Spain,Midfielder,Espanyol,La Liga,10,0,0
Dominik Greif,27.0,Slovakia,Goalkeeper,Mallorca,La Liga,31,0,0
Antoine Griezmann,33.0,France,"Forward, Midfielder",Atlético Madrid,La Liga,38,8,7
Vicente Guaita,37.0,Spain,Goalkeeper,Celta Vigo,La Liga,34,0,0
Sergi Guardiola,33.0,Spain,Forward,Rayo Vallecano,La Liga,16,0,0
Nemanja Gudelj,32.0,Serbia,"Midfielder, Defender",Sevilla,La Liga,31,1,1
Javier Guerra,21.0,Spain,Midfielder,Valencia,La Liga,36,3,3
Ander Guevara,27.0,Spain,Midfielder,Alavés,La Liga,33,0,1
Pape Gueye,25.0,Senegal,Midfielder,Villarreal,La Liga,34,4,0
Hugo Guillamón,24.0,Spain,Midfielder,Valencia,La Liga,12,0,0
Carlos Guirao,21.0,Spain,Midfielder,Betis,La Liga,2,0,0
Arda Güler,19.0,Türkiye,"Midfielder, Forward",Real Madrid,La Liga,28,3,4
Gerard Gumbau,29.0,Spain,Midfielder,Rayo Vallecano,La Liga,22,0,1
Jon Guridi,29.0,Spain,"Midfielder, Forward",Alavés,La Liga,33,3,1
Gorka Guruzeta,27.0,Spain,Forward,Athletic Club,La Liga,36,7,2
Miguel Gutiérrez,23.0,Spain,"Defender, Midfielder",Girona,La Liga,29,1,5
Munir El Haddadi,28.0,Morocco,"Forward, Midfielder",Leganés,La Liga,25,4,0
Sébastien Haller,30.0,Côte d'Ivoire,Forward,Leganés,La Liga,8,0,0
Henrique,30.0,Brazil,Defender,Valladolid,La Liga,5,0,0
Javi Hernández,26.0,Spain,Defender,Leganés,La Liga,31,2,1
Aridane Hernández,35.0,Spain,Defender,Rayo Vallecano,La Liga,14,0,0
Jorge Herrando,23.0,Spain,Defender,Osasuna,La Liga,18,1,0
Ander Herrera,34.0,Spain,Midfielder,Athletic Club,La Liga,8,0,0
Sergio Herrera,31.0,Spain,Goalkeeper,Osasuna,La Liga,37,0,0
Yangel Herrera,26.0,"Venezuela, Bolivarian Republic of",Midfielder,Girona,La Liga,29,4,3
Juan Herzog,21.0,Spain,Defender,Las Palmas,La Liga,19,0,0
Omar El Hilali,20.0,Morocco,Defender,Espanyol,La Liga,36,0,2
Roger Hinojo,19.0,Spain,Defender,Espanyol,La Liga,1,0,0
Dinko Horkaš,25.0,Croatia,Goalkeeper,Las Palmas,La Liga,13,0,0
Pablo Ibáñez,25.0,Spain,Midfielder,Osasuna,La Liga,28,1,1
Stanis Idumbo,19.0,Belgium,"Forward, Midfielder",Sevilla,La Liga,14,1,1
Iglesias,26.0,Spain,Defender,Getafe,La Liga,37,0,1
Borja Iglesias,31.0,Spain,Forward,Celta Vigo,La Liga,37,11,3
Kelechi Iheanacho,27.0,Nigeria,Forward,Sevilla,La Liga,9,0,0
Isco,32.0,Spain,Midfielder,Betis,La Liga,22,9,8
Diego Iturralde,21.0,Spain,Forward,Sevilla,La Liga,1,0,0
Ivan Jaime Pajuelo,23.0,Spain,Midfielder,Valencia,La Liga,9,0,0
Karl Jakob Hein,22.0,Estonia,Goalkeeper,Valladolid,La Liga,31,0,0
Adnan Januzaj,29.0,Belgium,"Midfielder, Forward",Las Palmas,La Liga,18,2,1
Mikel Jauregizar,20.0,Spain,Midfielder,Athletic Club,La Liga,34,2,1
Jofre,23.0,Spain,"Midfielder, Forward",Espanyol,La Liga,37,3,3
Frenkie de Jong,27.0,Netherlands,Midfielder,Barcelona,La Liga,26,2,2
Joan Jordán,30.0,Spain,Midfielder,Alavés,La Liga,25,5,2
Juanmi,31.0,Spain,"Forward, Midfielder",Betis,La Liga,11,0,0
Juanpe,33.0,Spain,Defender,Girona,La Liga,12,0,0
Luiz Lúcio Reis Júnior,23.0,Brazil,Goalkeeper,Villarreal,La Liga,17,0,0
Vinicius Júnior,24.0,Brazil,Forward,Real Madrid,La Liga,30,11,8
Stanko Jurić,27.0,Croatia,Midfielder,Valladolid,La Liga,26,0,0
Willy Kambwala,19.0,France,Defender,Villarreal,La Liga,19,0,0
Abdoulaye Keita,21.0,Spain,"Forward, Midfielder",Getafe,La Liga,3,0,0
Kenedy,28.0,Brazil,"Midfielder, Forward",Valladolid,La Liga,2,0,0
Kiké,34.0,Spain,Forward,Alavés,La Liga,35,13,0
Koke,32.0,Spain,Midfielder,Atlético Madrid,La Liga,32,1,1
Jules Koundé,25.0,France,Defender,Barcelona,La Liga,32,2,3
Alex Král,26.0,Czechia,Midfielder,Espanyol,La Liga,37,0,1
Ladislav Krejčí,25.0,Czechia,Defender,Girona,La Liga,28,2,0
Takefusa Kubo,23.0,Japan,"Midfielder, Forward",Real Sociedad,La Liga,36,5,0
Marash Kumbulla,24.0,Albania,Defender,Espanyol,La Liga,35,3,0
Luca de la Torre,26.0,United States,Midfielder,Celta Vigo,La Liga,1,0,0
Yoel Lago,20.0,Spain,Defender,Celta Vigo,La Liga,8,0,1
Cyle Larin,29.0,Canada,Forward,Mallorca,La Liga,32,7,2
Juanmi Latasa,23.0,Spain,Forward,Valladolid,La Liga,28,3,0
Toni Lato,26.0,Spain,Defender,Mallorca,La Liga,14,0,0
Robin Le Normand,27.0,Spain,Defender,Atlético Madrid,La Liga,27,1,0
Florian Lejeune,33.0,France,Defender,Rayo Vallecano,La Liga,37,2,3
Iñigo Lekue,31.0,Spain,Defender,Athletic Club,La Liga,16,0,0
Thomas Lemar,28.0,France,Midfielder,Atlético Madrid,La Liga,5,0,0
Clément Lenglet,29.0,France,Defender,Atlético Madrid,La Liga,23,2,1
Robert Lewandowski,35.0,Poland,Forward,Barcelona,La Liga,34,27,2
Samuel Lino,24.0,Brazil,"Midfielder, Defender",Atlético Madrid,La Liga,31,3,4
Javier Llabrés,21.0,Spain,Forward,Mallorca,La Liga,1,0,0
Diego Llorente,30.0,Spain,Defender,Betis,La Liga,30,2,0
Marcos Llorente,29.0,Spain,"Defender, Midfielder",Atlético Madrid,La Liga,33,2,4
Giovani Lo Celso,28.0,Argentina,"Midfielder, Forward",Betis,La Liga,25,8,3
Enzo Loiodice,23.0,France,Midfielder,Las Palmas,La Liga,17,0,0
David López,34.0,Spain,Defender,Girona,La Liga,29,1,1
Diego López,22.0,Spain,"Midfielder, Forward",Valencia,La Liga,38,8,5
Fermin López,21.0,Spain,"Midfielder, Forward",Barcelona,La Liga,28,6,5
Javi López,22.0,Spain,Defender,Real Sociedad,La Liga,29,0,0
Pau López,29.0,Spain,Goalkeeper,Girona,La Liga,1,0,0
Roberto López,24.0,Spain,Midfielder,Leganés,La Liga,13,0,1
Unai López,28.0,Spain,Midfielder,Rayo Vallecano,La Liga,32,3,1
Iker Losada,22.0,Spain,"Midfielder, Forward",Betis,La Liga,10,0,0
Pol Lozano,24.0,Spain,Midfielder,Espanyol,La Liga,30,0,1
José Luis Gayà,29.0,Spain,Defender,Valencia,La Liga,23,0,1
Dodi Lukebakio,26.0,Belgium,Forward,Sevilla,La Liga,38,11,2
Daniel Luna,21.0,Colombia,Midfielder,Mallorca,La Liga,2,0,0
Andriy Lunin,25.0,Ukraine,Goalkeeper,Real Madrid,La Liga,7,0,1
Darwin Machís,31.0,"Venezuela, Bolivarian Republic of","Midfielder, Forward",Valladolid,La Liga,18,0,1
Pablo Maffeo,27.0,Spain,Defender,Mallorca,La Liga,30,0,2
Jon Magunazelaia,23.0,Spain,Midfielder,Real Sociedad,La Liga,2,0,0
Giorgi Mamardashvili,23.0,Georgia,Goalkeeper,Valencia,La Liga,34,0,0
Reinildo Mandava,30.0,Mozambique,Defender,Atlético Madrid,La Liga,19,0,0
Javier Manquillo,30.0,Spain,Defender,Celta Vigo,La Liga,10,0,0
Marcão,28.0,Brazil,Defender,Sevilla,La Liga,12,0,0
Óscar de Marcos,35.0,Spain,Defender,Athletic Club,La Liga,26,0,4
Alberto Marí,23.0,Spain,Forward,Valencia,La Liga,1,0,0
José María Giménez,29.0,Uruguay,Defender,Atlético Madrid,La Liga,27,0,1
Arkaitz Mariezkurrena,19.0,Spain,"Forward, Midfielder",Real Sociedad,La Liga,9,2,0
Pablo Marín,21.0,Spain,Midfielder,Real Sociedad,La Liga,23,1,2
Mika Mármol,23.0,Spain,Defender,Las Palmas,La Liga,30,0,1
Mario Maroto,20.0,Spain,Midfielder,Valladolid,La Liga,2,0,1
Unai Marrero,22.0,Spain,Goalkeeper,Real Sociedad,La Liga,2,0,0
Carlos Martín,22.0,Spain,"Forward, Midfielder",Alavés,La Liga,26,2,2
Diego Martín,20.0,Spain,Forward,Las Palmas,La Liga,2,0,0
Gerard Martín,22.0,Spain,Defender,Barcelona,La Liga,28,1,3
Iván Martín,25.0,Spain,Midfielder,Girona,La Liga,32,1,1
Jon Martin,18.0,Spain,Defender,Real Sociedad,La Liga,13,0,1
Mario Martín,20.0,Spain,Midfielder,Valladolid,La Liga,30,0,1
Arnau Martinez,21.0,Spain,"Defender, Midfielder",Girona,La Liga,32,2,2
Iñigo Martínez,33.0,Spain,Defender,Barcelona,La Liga,28,0,4
Javi Martínez,24.0,Spain,Midfielder,Osasuna,La Liga,1,0,0
Ramón Martínez,21.0,Spain,Defender,Sevilla,La Liga,5,1,0
Toni Martínez,27.0,Spain,Forward,Alavés,La Liga,28,4,0
Javi Martón,25.0,Spain,"Forward, Midfielder",Athletic Club,La Liga,3,0,0
Marvin,24.0,Spain,"Defender, Forward",Las Palmas,La Liga,23,0,0
Omar Mascarell,31.0,Equatorial Guinea,Midfielder,Mallorca,La Liga,32,1,0
Jaime Mata,35.0,Spain,"Forward, Midfielder",Las Palmas,La Liga,30,0,0
